"","SiteID","dist_disturb","year","d2nn","occ","X","Y","Lat","Long","ndvi_mean","ndvi_max","ndvi_sd","sp"
"19","107",1560.26291670831,"y20",1387.13864094566,1,561252.095834079,7914970.1597512,71.3291,-79.2855,0.252403737780952,0.782497882843018,0.109031462199938,"pefa"
"20","122",4901.22616659999,"y20",2044.7436752325,1,565454.857529522,7910518.22418275,71.2881,-79.1717,0.317772226343447,0.774680614471436,0.0998878799770351,"pefa"
"21","128",7718.22993603847,"y20",1083.39634340423,1,567824.005973415,7908995.35356596,71.2738,-79.1069,0.289850753676093,0.709523797035217,0.102270512156755,"pefa"
"22","141",11534.6324672454,"y20",3150.40976390121,1,571056.30719242,7906967.39317111,71.2547,-79.0186,0.27336326711536,0.911207377910614,0.105820992487327,"pefa"
"23","165",17638.712270967,"y20",1695.9318366679,1,576421.198972324,7904035.88134151,71.2268,-78.872,0.254192966947483,0.911207377910614,0.0998566541716987,"pefa"
"24","357",814.541959168875,"y20",905.49612980629,1,505566.076656866,7971004.14695218,71.8392,-80.84,0.198014667977008,0.999706447124481,0.0938535779572216,"pefa"
"25","383",2882.13675872678,"y20",2334.81100423919,1,518977.219659459,7950424.71736135,71.654,-80.4598,0.234974079004641,0.684318542480469,0.0790494539900321,"pefa"
"26","387",7244.3422473549,"y20",2263.96358614667,1,508480.006660798,7980751.45512748,71.9265,-80.7551,0.196883336582723,0.999896228313446,0.117716070692071,"pefa"
"27","388",4119.99125087377,"y20",1517.54209052988,1,506082.852403066,7978713.04182898,71.9083,-80.8245,0.181189302050899,0.999896228313446,0.117735139749333,"pefa"
"28","400",283.01181022597,"y20",1375.88017126705,1,510308.148528314,7967374.69772103,71.8065,-80.7042,0.242431778987732,0.628306448459625,0.0904611031383462,"pefa"
"29","442",3766.35668425382,"y20",2566.21149778769,1,544213.663913073,7916283.41526354,71.3446,-79.7615,0.259306187177723,0.726106524467468,0.0858597126651048,"pefa"
"30","447",4101.66477589826,"y20",2301.74621443679,1,530970.673780074,7918752.22524443,71.3688,-80.1314,0.322121609245512,0.653145968914032,0.0771320916833077,"pefa"
"31","448",2996.5389546744,"y20",1123.8397659037,1,523139.3688531,7934950.27021225,71.5149,-80.3461,0.154168119679572,0.594113111495972,0.0463299025497183,"pefa"
"32","464",2126.67224790335,"y20",59.2844113831813,1,539653.573167526,7923457.0802287,71.4097,-79.8855,0.328827872990583,0.723420321941376,0.0978396804806115,"pefa"
"33","465",5537.13711838906,"y20",1317.51079405234,1,542728.097835392,7927766.38601483,71.4478,-79.7967,0.336008369578094,0.723420321941376,0.090552059772313,"pefa"
