"","SiteID","Lat","Long","y20v1","y20v2","y20v3","PDA","D2D","D2NN","NN","12Yng","13Yng","14Yng","15Yng","16Yng","17Yng","18Yng","19Yng","y12v1","y12v2","y12v3","y13v1","y13v2","y13v3","y14v1","y14v2","y14v3","y15v1","y15v2","y15v3","y16v1","y16v2","y16v3","y17v1","y17v2","y17v3","y18v1","y18v2","y18v3","y19v1","y19v2","y19v3","RLHA_19","PEFA_19","GYRF_19","NDNO","RLHA","PEFA","GYRF","dist_disturb"
"11",16,71.8196,-80.5177,"not detected","not detected","not detected",1,4,0.9,17,NA,NA,NA,NA,NA,0,0,0,"RLHA",NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,"0",NA,NA,"0","0",NA,"0","0","0","0","0","0",0,0,0,"TRUE","FALSE","FALSE","FALSE",4117.52557924134
"12",17,71.8139,-80.5009,"not detected","PEFA","not detected",1,4.1,0.1,390,NA,NA,2,0,NA,0,2,0,"0","0",NA,NA,NA,NA,"RLHA","RLHA",NA,"PEFA","0",NA,"0",NA,NA,"PEFA","0",NA,"0","0","PEFA","0","0","0",0,0,0,"TRUE","FALSE","FALSE","FALSE",4252.8824993044
"13",18,71.7948,-80.4523,"not detected","not detected","not detected",1,4.2,1.8,19,1,NA,1,0,3,0,0,0,"RLHA",NA,NA,NA,NA,NA,"RLHA","RLHA",NA,"PEFA","0",NA,"PEFA","PEFA",NA,"0","0",NA,"0","0","0","0","0","0",0,0,0,"TRUE","FALSE","FALSE","FALSE",4253.74701115353
"14",19,71.779,-80.4441,"not detected","RLHA","not detected",1,3.1,1.8,18,NA,NA,3,0,NA,2,0,0,"RLHA",NA,NA,NA,NA,NA,"PEFA","PEFA",NA,"PEFA","0",NA,"0","0",NA,"PEFA","PEFA",NA,"0","0","0","PEFA","PEFA","PEFA",0,3,0,"FALSE","FALSE","TRUE","FALSE",3162.98889800485
"15",20,71.6842,-80.4395,"PEFA","PEFA","PEFA",1,1.7,3.4,383,2,4,2,4,4,3,0,2,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"PEFA","PEFA","PEFA","PEFA","PEFA","PEFA",0,3,0,"FALSE","FALSE","TRUE","FALSE",1774.37079447097
"16",21,71.7585,-80.3982,"not detected","RLHA","not detected",1,3.2,0.2,360,NA,NA,NA,NA,3,0,0,0,"0","RLHA",NA,NA,NA,NA,"0","0",NA,"0","0",NA,"0","0",NA,"0","0",NA,"RLHA","0","0","0","0","0",0,0,0,"TRUE","FALSE","FALSE","FALSE",3277.5437158081
"17",22,71.6184,-80.3961,"PEFA","PEFA","PEFA",1,1.1,2.4,449,0,2,0,3,0,2,2,0,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"PEFA","PEFA","PEFA","PEFA","PEFA","PEFA",0,3,0,"FALSE","FALSE","TRUE","FALSE",1205.71627749077
"18",23,71.7359,-80.3569,"not detected","not detected","not detected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3574.13939670226
"19",24,71.5549,-80.3386,"PEFA","PEFA","PEFA",1,1.1,4.3,483,0,1,2,3,4,2,2,1,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"PEFA","PEFA","PEFA","PEFA","PEFA","PEFA",0,3,0,"FALSE","FALSE","TRUE","FALSE",1165.45445547927
"20",25,71.7369,-80.3271,"not detected","not detected","not detected",1,4.4,0.3,481,3,NA,0,NA,0,0,0,0,"RLHA","RLHA",NA,NA,NA,NA,"PEFA","0",NA,"0","0",NA,"GYRF","0",NA,"0","0",NA,"0","PEFA","0","GYRF","0","0",0,0,1,"FALSE","FALSE","FALSE","TRUE",4470.29595855367
"21",26,71.5088,-80.3042,"not detected","not detected","not detected",1,1.9,0.6,374,NA,NA,NA,NA,0,0,0,3,"RLHA","0",NA,"0",NA,NA,"0","0",NA,"0","0",NA,"0","0",NA,"0","0",NA,"0","0","0","PEFA","PEFA","PEFA",0,3,0,"FALSE","FALSE","TRUE","FALSE",2033.61084550741
"22",27,71.7226,-80.2873,"not detected","not detected","not detected",1,4.7,1.3,386,NA,NA,NA,NA,NA,0,0,0,"0",NA,NA,NA,NA,NA,"GYRF","0",NA,"GYRF","0",NA,"0","0",NA,"GYRF","0",NA,"0","0","0","0","0","0",0,0,0,"TRUE","FALSE","FALSE","FALSE",4847.80045539534
"23",28,71.4765,-80.2676,"PEFA","PEFA","PEFA",1,1.3,0.7,356,1,0,2,3,4,1,0,0,"RLHA","RLHA",NA,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"0","PEFA",NA,"0","PEFA",NA,"PEFA","PEFA",NA,"PEFA","PEFA","0","0","0","0",0,0,0,"TRUE","FALSE","FALSE","FALSE",1421.97401443854
"24",30,71.7112,-80.2472,"PEFA","PEFA","PEFA",1,5.4,0.7,386,NA,NA,NA,NA,NA,0,0,0,"RLHA",NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,"0",NA,NA,"0","0",NA,"0","0","0","0","0","0",0,0,0,"TRUE","FALSE","FALSE","FALSE",5533.82647213483
"25",32,71.391,-80.2381,"RLHA","RLHA","RLHA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"106","11","43","1",5284.60806025709
"26",33,71.4522,-80.2294,"not detected","not detected","not detected",1,1.1,0.3,378,1,0,2,3,4,3,0,1,"PEFA","PEFA",NA,"PEFA","0",NA,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"PEFA","PEFA","0","0","PEFA","PEFA",0,2,0,"FALSE","FALSE","TRUE","FALSE",1193.61201719411
"27",34,71.7048,-80.2042,"not detected","not detected","not detected",1,6.6,0.3,35,NA,NA,1,4,2,0,0,0,"0",NA,NA,NA,NA,NA,"RLHA","RLHA",NA,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"0","0","0","0","0","0",0,0,0,"TRUE","FALSE","FALSE","FALSE",6689.08670680621
"28",35,71.7038,-80.1955,"not detected","not detected","not detected",1,6.8,0.3,34,NA,NA,0,NA,NA,0,0,0,"0",NA,NA,NA,NA,NA,"PEFA","0",NA,"0",NA,NA,"0",NA,NA,"0","0",NA,"0","0","0","0","0","0",0,0,0,"TRUE","FALSE","FALSE","FALSE",6945.55946544526
"29",40,71.3882,-80.1527,"PEFA","PEFA","PEFA",1,2.8,0.2,41,0,0,2,0,3,0,0,0,"PEFA","PEFA",NA,"PEFA","0",NA,"PEFA","PEFA",NA,"PEFA","0",NA,"PEFA","PEFA",NA,"PEFA","0",NA,"0","0","0","0","0","0",0,0,0,"TRUE","FALSE","FALSE","FALSE",2924.51641931658
"30",41,71.3875,-80.1483,"not detected","not detected","not detected",1,2.7,0.2,40,0,NA,NA,4,NA,0,0,0,"0","0",NA,"0","0",NA,"0","0",NA,"RLHA","RLHA",NA,"0","0",NA,"0","0",NA,"0","0","0","0","0","0",0,0,0,"TRUE","FALSE","FALSE","FALSE",2841.63214766157
"31",43,71.2862,-80.0018,"RLHA","RLHA","RLHA",1,10.3,3.1,48,3,NA,NA,NA,NA,0,0,0,"PEFA","PEFA",NA,"0","0",NA,"0","0",NA,"0","0",NA,"0","0",NA,"0","0",NA,"0","0","0","0","0","0",0,0,0,"TRUE","FALSE","FALSE","FALSE",10433.7540509097
"32",46,71.3825,-79.9647,"RLHA","RLHA","RLHA",1,0.1,4.1,464,0,NA,NA,0,4,0,0,0,"RLHA","RLHA",NA,"0",NA,NA,"0",NA,NA,"RLHA","0",NA,"RLHA","RLHA",NA,"0","0",NA,"PEFA","0","0","0","0","0",0,0,0,"TRUE","FALSE","FALSE","FALSE",274.115147809015
"33",48,71.2978,-79.9221,"not detected","not detected","not detected",1,9.2,0.2,49,NA,NA,NA,NA,NA,0,0,0,"RLHA","0",NA,"0","0",NA,"0","0",NA,"0","0",NA,"0","0",NA,"0","0",NA,"0","0","0","0","0","0",0,0,0,"TRUE","FALSE","FALSE","FALSE",9260.90854701899
"34",49,71.2964,-79.9196,"not detected","not detected","not detected",1,9.3,0.2,48,0,0,0,2,0,0,0,0,"PEFA","0",NA,"PEFA","PEFA",NA,"PEFA","0",NA,"PEFA","PEFA",NA,"PEFA","0",NA,"PEFA","PEFA",NA,"0","0","0","0","0","0",0,0,0,"TRUE","FALSE","FALSE","FALSE",9431.32893927138
"35",50,71.458,-79.8961,"not detected","not detected","not detected",1,7.1,1,462,NA,NA,0,0,0,0,0,0,"RLHA",NA,NA,"0",NA,NA,"PEFA","0",NA,"PEFA","0",NA,"0","0",NA,"PEFA","0",NA,"0","0","0","0","0","0",0,0,0,"TRUE","FALSE","FALSE","FALSE",7187.75000594079
"36",51,71.2947,-79.9039,"RLHA","RLHA","RLHA",1,9.6,0.6,49,0,NA,NA,4,NA,0,0,0,"RLHA","0",NA,"0","0",NA,"0","0",NA,"RLHA","RLHA",NA,"0","0",NA,"0","0",NA,"0","0","0","0","0","0",0,0,0,"TRUE","FALSE","FALSE","FALSE",9739.22734684503
"37",52,71.4389,-79.8944,"not detected","not detected","not detected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5180.13330576839
"38",53,71.415,-79.8918,"not detected","not detected","not detected",1,2.7,0.4,463,NA,2,0,NA,NA,0,0,0,NA,NA,NA,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"0","0",NA,"0","0",NA,"0","0",NA,"0","0","0","0","0","0",0,0,0,"TRUE","FALSE","FALSE","FALSE",2758.6920619556
"39",54,71.3492,-79.8631,"not detected","not detected","not detected",1,4.2,0.6,443,NA,NA,1,NA,NA,0,2,0,"RLHA",NA,NA,"0","0",NA,"RLHA","RLHA",NA,"0","0",NA,"0","0",NA,"0","0",NA,"0","RLHA","RLHA","0","0","0",0,0,0,"TRUE","FALSE","FALSE","FALSE",4282.90727053175
"40",55,71.3436,-79.8538,"not detected","not detected","not detected",1,4.9,0.7,54,NA,3,2,0,3,0,0,2,"PEFA",NA,NA,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"PEFA","0",NA,"0","0",NA,"PEFA","PEFA","0","PEFA","PEFA","PEFA",0,3,0,"FALSE","FALSE","TRUE","FALSE",4981.34042867298
"41",56,71.2211,-79.8042,"RLHA","RLHA","RLHA",2,15.7,0,57,NA,NA,NA,NA,NA,1,0,0,"0","0",NA,"0","0",NA,"0","0",NA,"0","0",NA,NA,NA,NA,"CORA","0",NA,"RLHA","0","0","0","0","0",0,0,0,"TRUE","FALSE","FALSE","FALSE",15858.0622833456
"42",57,71.2207,-79.7977,"not detected","not detected","not detected",2,15.7,0,56,0,NA,NA,4,NA,0,0,0,"0","0",NA,"0","0",NA,"0","0",NA,"RLHA","RLHA",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"0","0","0",0,0,0,"TRUE","FALSE","FALSE","FALSE",15748.9555949282
"43",58,71.2447,-79.8005,"not detected","not detected","not detected",2,13.7,2.6,56,1,NA,NA,NA,NA,0,0,0,"RLHA","RLHA",NA,"0",NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"0","0",NA,"0","0","0","0","0","0",0,0,0,"TRUE","FALSE","FALSE","FALSE",13799.2834785258
"44",59,71.219,-79.7919,"PEFA","PEFA","PEFA",2,15.7,0.1,338,3,3,1,3,NA,3,0,2,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"PEFA","PEFA",NA,NA,NA,NA,"PEFA","PEFA",NA,"PEFA","PEFA","0","PEFA","PEFA","PEFA",0,3,0,"FALSE","FALSE","TRUE","FALSE",15773.846901515
"45",61,71.3562,-79.7641,"not detected","not detected","not detected",1,2.5,1.3,442,NA,NA,0,3,NA,0,0,0,"0","0",NA,"0",NA,NA,"0","RLHA",NA,"RLHA","RLHA",NA,"0",NA,NA,"PEFA","0",NA,"0","0","0","0","0","0",0,0,0,"TRUE","FALSE","FALSE","FALSE",2618.45420266718
"46",62,71.4698,-79.7558,"PEFA","PEFA","PEFA",1,8.1,0.4,63,NA,NA,NA,NA,2,2,0,0,"RLHA",NA,NA,"0",NA,NA,"PEFA","0",NA,"0",NA,NA,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"0","0","0","0","0","0",0,0,0,"TRUE","FALSE","FALSE","FALSE",8224.82084984336
"47",63,71.4707,-79.7455,"not detected","not detected","not detected",1,8.3,0.4,62,NA,NA,NA,NA,NA,0,2,3,"PEFA",NA,NA,"0",NA,NA,"0","0",NA,"0",NA,NA,"0","0",NA,"0","0",NA,"PEFA","PEFA","PEFA","0","PEFA","PEFA",0,2,0,"FALSE","FALSE","TRUE","FALSE",8420.89219852579
"48",64,71.3982,-79.7033,"not detected","not detected","not detected",1,2.3,1.4,69,0,NA,NA,NA,0,0,0,0,"RLHA","0",NA,"0",NA,NA,"0",NA,NA,"0",NA,NA,"RLHA","0",NA,"0","0",NA,"0","0","0","0","0","0",0,0,0,"TRUE","FALSE","FALSE","FALSE",2387.66906006567
"49",65,71.4564,-79.7205,"RLHA","RLHA","RLHA",1,7.2,0.8,467,NA,NA,0,NA,NA,0,0,0,"0",NA,NA,"0",NA,NA,"RLHA","0",NA,"0","0",NA,"0",NA,NA,"0","0",NA,"0","0","0","0","0","0",0,0,0,"TRUE","FALSE","FALSE","FALSE",7269.43569698143
"50",66,71.3441,-79.7168,"RLHA","RLHA","RLHA",1,3.5,1.6,442,NA,NA,3,NA,3,0,0,0,"0",NA,NA,"0",NA,NA,"RLHA","RLHA",NA,"0","0",NA,"RLHA","RLHA",NA,"0","0",NA,"0","0","0","0","0","0",0,0,0,"TRUE","FALSE","FALSE","FALSE",3565.09868397179
"51",68,71.3776,-79.7084,"not detected","not detected","not detected",1,0.1,2.3,64,0,3,2,3,3,0,2,0,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"PEFA","0",NA,"PEFA","PEFA","PEFA","0","0","0",0,0,0,"TRUE","FALSE","FALSE","FALSE",151.01622790579
"52",69,71.4111,-79.7058,"RLHA","RLHA","RLHA",1,3.4,1.4,64,NA,1,2,2,2,0,0,4,"0",NA,NA,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"PEFA","0","0","PEFA","PEFA","PEFA",0,3,0,"FALSE","FALSE","TRUE","FALSE",3541.44427824965
"53",70,71.4658,-79.6706,"RLHA","RLHA","RLHA",1,9,1.5,467,NA,3,NA,3,NA,0,0,0,"RLHA",NA,NA,"PEFA","PEFA",NA,"0",NA,NA,"RLHA","RLHA",NA,NA,NA,NA,"0","0",NA,"0","RLHA","0","0","0","0",0,0,0,"TRUE","FALSE","FALSE","FALSE",9075.89996721236
"54",71,71.1756,-79.6665,"PEFA","PEFA","PEFA",2,18,0.3,72,0,3,2,4,3,3,2,4,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"0","PEFA",NA,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"PEFA","PEFA","PEFA","0","PEFA","PEFA",0,2,0,"FALSE","FALSE","TRUE","FALSE",18129.6867908128
"55",72,71.1779,-79.666,"RLHA","RLHA","RLHA",2,17.8,0.3,71,3,NA,NA,1,0,0,0,0,"RLHA","RLHA",NA,"0","0",NA,"0",NA,NA,"RLHA","RLHA",NA,"RLHA","0",NA,"0","0",NA,"0","0","0","RLHA","0","0",1,0,0,"FALSE","TRUE","FALSE","FALSE",17878.4796077228
"56",73,71.3608,-79.6373,"not detected","not detected","not detected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,705.233977623589
"57",74,71.3218,-80.195,"not detected","not detected","not detected",1,9.2,4.6,385,NA,NA,NA,NA,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"PEFA","PEFA","0","0","0","0",0,0,0,"TRUE","FALSE","FALSE","FALSE",9292.51140754014
"58",75,71.3616,-79.6362,"not detected","RLHA","RLHA",1,0.5,0.1,73,0,3,2,2,0,2,0,0,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"0","PEFA",NA,"PEFA","PEFA",NA,"0","0","0","0","0","0",0,0,0,"TRUE","FALSE","FALSE","FALSE",611.4996258449
"59",80,71.4476,-79.5701,"PEFA","PEFA","PEFA",1,8.9,0.8,469,NA,0,NA,3,3,1,1,0,"RLHA",NA,NA,"PEFA","0",NA,"RLHA",NA,NA,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"PEFA","PEFA","PEFA","0","0","0",0,0,0,"TRUE","FALSE","FALSE","FALSE",9011.83372902867
"60",81,71.399,-79.5737,"PEFA","PEFA","PEFA",1,3.8,4.6,468,NA,0,0,4,0,0,0,0,"0","PEFA",NA,"PEFA","PEFA",NA,"PEFA","0",NA,"0","PEFA",NA,"PEFA","PEFA",NA,"0","0",NA,"0","0","0","0","PEFA","PEFA",0,2,0,"FALSE","FALSE","TRUE","FALSE",3954.13949296929
"61",82,71.3327,-79.5619,"PEFA","PEFA","PEFA",1,0.8,0.8,83,0,NA,0,4,4,1,0,2,"PEFA","PEFA",NA,"0",NA,NA,"PEFA","0",NA,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"0","0","0","PEFA","PEFA","PEFA",0,3,0,"FALSE","FALSE","TRUE","FALSE",896.794483341563
"62",83,71.3286,-79.5424,"not detected","not detected","not detected",1,0.5,0.8,82,1,0,3,5,NA,0,0,0,"RLHA","RLHA",NA,"PEFA","PEFA",NA,"RLHA","RLHA",NA,"RLHA","RLHA",NA,"0","0",NA,"0","0",NA,"0","PEFA","0","0","0","0",0,0,0,"TRUE","FALSE","FALSE","FALSE",644.932680142394
"63",84,71.4457,-79.5258,"not detected","not detected","not detected",1,9.3,0.4,85,NA,NA,NA,NA,3,0,0,0,"0",NA,NA,"0",NA,NA,"0",NA,NA,"0","0",NA,"RLHA","RLHA",NA,"0","0",NA,"0","0","0","RLHA","0","0",1,0,0,"FALSE","TRUE","FALSE","FALSE",9421.20871776449
"64",85,71.4441,-79.5157,"RLHA","RLHA","RLHA",1,9.3,0.4,84,NA,NA,NA,4,NA,0,0,0,"RLHA",NA,NA,"0",NA,NA,"0",NA,NA,"RLHA","RLHA",NA,"0",NA,NA,"0","0",NA,"0","PEFA","0","0","0","0",0,0,0,"TRUE","FALSE","FALSE","FALSE",9391.46841651707
"65",86,71.3444,-79.4464,"not detected","PEFA","not detected",1,1.2,0.6,485,2,NA,3,0,NA,2,0,0,"RLHA","RLHA",NA,"0",NA,NA,"RLHA","RLHA",NA,"RLHA","RLHA",NA,"0",NA,NA,"RLHA","RLHA",NA,"0","PEFA","0","0","0","0",0,0,0,"TRUE","FALSE","FALSE","FALSE",1652.41784664153
"66",88,71.3374,-79.44,"not detected","not detected","not detected",1,0.4,0.5,485,0,NA,2,4,0,3,0,1,"PEFA","PEFA",NA,"PEFA","0",NA,"PEFA","PEFA",NA,"RLHA","RLHA",NA,"CORA","0",NA,"CORA","0",NA,"CORA","0","0","0","PEFA","PEFA",0,2,0,"FALSE","FALSE","TRUE","FALSE",843.383118187085
"67",91,71.3333,-79.3849,"not detected","not detected","not detected",1,0.1,1.3,100,0,NA,NA,NA,0,0,0,0,"PEFA","0",NA,"0",NA,NA,"0",NA,NA,"0",NA,NA,"PEFA","PEFA",NA,"0","0",NA,"0","0","0","0","0","0",0,0,0,"TRUE","FALSE","FALSE","FALSE",202.715102455114
"68",94,71.3696,-79.3786,"PEFA","PEFA","PEFA",1,4.1,2.9,473,0,NA,3,2,3,2,2,2,"PEFA","PEFA",NA,"0","0",NA,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"PEFA","PEFA","PEFA","PEFA","PEFA","PEFA",0,3,0,"FALSE","FALSE","TRUE","FALSE",4224.50628777432
"69",95,71.2227,-79.3808,"not detected","RLHA","RLHA",1,9.5,1,99,NA,NA,NA,NA,NA,0,0,0,"RLHA","0",NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,"0","0",NA,"0","0","0","0","0","0",0,0,0,"TRUE","FALSE","FALSE","FALSE",10734.2127235846
"70",98,71.214,-79.3739,"not detected","PEFA","PEFA",2,10.3,0.1,99,NA,3,NA,0,0,2,0,0,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"0","0",NA,"0","0",NA,"0","0",NA,"PEFA","PEFA",NA,"0","PEFA","PEFA","0","0","0",0,0,0,"TRUE","FALSE","FALSE","FALSE",11584.3446013304
"71",99,71.2144,-79.3719,"not detected","not detected","not detected",2,10.2,0.1,98,NA,NA,3,0,4,0,0,3,"0","0",NA,"0","0",NA,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"0","0",NA,"GYRF","0","0","PEFA","PEFA","PEFA",0,3,0,"FALSE","FALSE","TRUE","FALSE",11521.4786530304
"72",100,71.3304,-79.3486,"PEFA","PEFA","PEFA",1,0,1.1,104,NA,NA,2,2,3,0,2,0,"0","0",NA,"0","0",NA,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"PEFA","0",NA,"PEFA","PEFA","PEFA","PEFA","PEFA","PEFA",0,3,0,"FALSE","FALSE","TRUE","FALSE",586.605970353164
"73",101,71.1373,-79.3612,"not detected","not detected","not detected",2,18.5,0.8,102,2,NA,3,4,4,3,3,0,"PEFA","PEFA",NA,"PEFA","0",NA,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"PEFA","PEFA",NA,"PEFA","PEFA","PEFA","PEFA","PEFA","0",0,2,0,"FALSE","FALSE","TRUE","FALSE",19874.3007431458
"74",102,71.13,-79.3554,"not detected","not detected","not detected",2,19.3,0.8,101,NA,NA,NA,NA,NA,0,0,0,"RLHA","0",NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","0","0","0","0",0,0,0,"TRUE","FALSE","FALSE","FALSE",20653.774420426
"75",104,71.3235,-79.3264,"not detected","not detected","not detected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,315.152728912974
