"","SiteID","year","Lat","Long","pefa","rlha"
"477",70,"20",71.4658,-79.6706,0,1
"478",71,"12",71.1756,-79.6665,1,0
"479",71,"13",71.1756,-79.6665,1,0
"480",71,"14",71.1756,-79.6665,1,0
"481",71,"15",71.1756,-79.6665,1,0
"482",71,"16",71.1756,-79.6665,1,0
"483",71,"17",71.1756,-79.6665,1,0
"484",71,"18",71.1756,-79.6665,1,0
"485",71,"19",71.1756,-79.6665,1,0
"486",71,"20",71.1756,-79.6665,1,0
"487",72,"12",71.1779,-79.666,0,1
"488",72,"13",71.1779,-79.666,0,0
"489",72,"14",71.1779,-79.666,0,0
"490",72,"15",71.1779,-79.666,0,1
"491",72,"16",71.1779,-79.666,0,1
"492",72,"17",71.1779,-79.666,0,0
"493",72,"18",71.1779,-79.666,0,0
"494",72,"19",71.1779,-79.666,0,1
"495",72,"20",71.1779,-79.666,0,1
"496",73,"12",71.3608,-79.6373,-Inf,-Inf
"497",73,"13",71.3608,-79.6373,-Inf,-Inf
"498",73,"14",71.3608,-79.6373,-Inf,-Inf
"499",73,"15",71.3608,-79.6373,-Inf,-Inf
"500",73,"16",71.3608,-79.6373,-Inf,-Inf
"501",73,"17",71.3608,-79.6373,-Inf,-Inf
"502",73,"18",71.3608,-79.6373,-Inf,-Inf
"503",73,"19",71.3608,-79.6373,-Inf,-Inf
"504",73,"20",71.3608,-79.6373,0,0
"505",74,"12",71.3218,-80.195,-Inf,-Inf
"506",74,"13",71.3218,-80.195,-Inf,-Inf
"507",74,"14",71.3218,-80.195,-Inf,-Inf
"508",74,"15",71.3218,-80.195,0,0
"509",74,"16",71.3218,-80.195,1,0
"510",74,"17",71.3218,-80.195,1,0
"511",74,"18",71.3218,-80.195,1,0
"512",74,"19",71.3218,-80.195,0,0
"513",74,"20",71.3218,-80.195,0,0
"514",75,"12",71.3616,-79.6362,1,0
"515",75,"13",71.3616,-79.6362,1,0
"516",75,"14",71.3616,-79.6362,1,0
"517",75,"15",71.3616,-79.6362,1,0
"518",75,"16",71.3616,-79.6362,1,0
"519",75,"17",71.3616,-79.6362,1,0
"520",75,"18",71.3616,-79.6362,0,0
"521",75,"19",71.3616,-79.6362,0,0
"522",75,"20",71.3616,-79.6362,0,1
"523",80,"12",71.4476,-79.5701,0,1
"524",80,"13",71.4476,-79.5701,1,0
"525",80,"14",71.4476,-79.5701,0,1
"526",80,"15",71.4476,-79.5701,1,0
"527",80,"16",71.4476,-79.5701,1,0
"528",80,"17",71.4476,-79.5701,1,0
"529",80,"18",71.4476,-79.5701,1,0
"530",80,"19",71.4476,-79.5701,0,0
"531",80,"20",71.4476,-79.5701,1,0
"532",81,"12",71.399,-79.5737,1,0
"533",81,"13",71.399,-79.5737,1,0
"534",81,"14",71.399,-79.5737,1,0
"535",81,"15",71.399,-79.5737,1,0
"536",81,"16",71.399,-79.5737,1,0
"537",81,"17",71.399,-79.5737,0,0
"538",81,"18",71.399,-79.5737,0,0
"539",81,"19",71.399,-79.5737,1,0
"540",81,"20",71.399,-79.5737,1,0
"541",82,"12",71.3327,-79.5619,1,0
"542",82,"13",71.3327,-79.5619,0,0
"543",82,"14",71.3327,-79.5619,1,0
"544",82,"15",71.3327,-79.5619,1,0
"545",82,"16",71.3327,-79.5619,1,0
"546",82,"17",71.3327,-79.5619,1,0
"547",82,"18",71.3327,-79.5619,0,0
"548",82,"19",71.3327,-79.5619,1,0
"549",82,"20",71.3327,-79.5619,1,0
"550",83,"12",71.3286,-79.5424,0,1
"551",83,"13",71.3286,-79.5424,1,0
"552",83,"14",71.3286,-79.5424,0,1
"553",83,"15",71.3286,-79.5424,0,1
"554",83,"16",71.3286,-79.5424,0,0
"555",83,"17",71.3286,-79.5424,0,0
"556",83,"18",71.3286,-79.5424,1,0
"557",83,"19",71.3286,-79.5424,0,0
"558",83,"20",71.3286,-79.5424,0,0
"559",84,"12",71.4457,-79.5258,0,0
"560",84,"13",71.4457,-79.5258,0,0
"561",84,"14",71.4457,-79.5258,0,0
"562",84,"15",71.4457,-79.5258,0,0
"563",84,"16",71.4457,-79.5258,0,1
"564",84,"17",71.4457,-79.5258,0,0
"565",84,"18",71.4457,-79.5258,0,0
"566",84,"19",71.4457,-79.5258,0,1
"567",84,"20",71.4457,-79.5258,0,0
"568",85,"12",71.4441,-79.5157,0,1
"569",85,"13",71.4441,-79.5157,0,0
"570",85,"14",71.4441,-79.5157,0,0
"571",85,"15",71.4441,-79.5157,0,1
"572",85,"16",71.4441,-79.5157,0,0
"573",85,"17",71.4441,-79.5157,0,0
"574",85,"18",71.4441,-79.5157,1,0
"575",85,"19",71.4441,-79.5157,0,0
"576",85,"20",71.4441,-79.5157,0,1
"577",86,"12",71.3444,-79.4464,0,1
"578",86,"13",71.3444,-79.4464,0,0
"579",86,"14",71.3444,-79.4464,0,1
"580",86,"15",71.3444,-79.4464,0,1
"581",86,"16",71.3444,-79.4464,0,0
"582",86,"17",71.3444,-79.4464,0,1
"583",86,"18",71.3444,-79.4464,1,0
"584",86,"19",71.3444,-79.4464,0,0
"585",86,"20",71.3444,-79.4464,1,0
"586",88,"12",71.3374,-79.44,1,0
"587",88,"13",71.3374,-79.44,1,0
"588",88,"14",71.3374,-79.44,1,0
"589",88,"15",71.3374,-79.44,0,1
"590",88,"16",71.3374,-79.44,0,0
"591",88,"17",71.3374,-79.44,0,0
"592",88,"18",71.3374,-79.44,0,0
