"","SiteID","Lat","Long","ndvi_mean","ndvi_max","ndvi_sd"
"34",49,71.2964,-79.9196,0.338865411088332,0.78867369890213,0.0813836882505957
"35",50,71.458,-79.8961,0.314646033712082,0.913751780986786,0.100519509027622
"36",51,71.2947,-79.9039,0.333795263962853,0.78867369890213,0.0816317380566369
"37",52,71.4389,-79.8944,0.315456776078588,0.723420321941376,0.103756032581611
"38",53,71.415,-79.8918,0.329105201085756,0.723420321941376,0.0991969718290342
"39",54,71.3492,-79.8631,0.281303613164605,0.698815584182739,0.0932805720383603
"40",55,71.3436,-79.8538,0.275858637539683,0.670164942741394,0.0904234730107224
"41",56,71.2211,-79.8042,0.332210510426827,0.683902442455292,0.0781843689683877
"42",57,71.2207,-79.7977,0.32982925222201,0.683902442455292,0.078226360221028
"43",58,71.2447,-79.8005,0.336289992736459,0.791240274906158,0.08194707298304
"44",59,71.219,-79.7919,0.328626094101353,0.683902442455292,0.0777485986028937
"45",61,71.3562,-79.7641,0.254008547962653,0.849179148674011,0.0892067470411476
"46",62,71.4698,-79.7558,0.334827579407078,0.657198846340179,0.0769240122859202
"47",63,71.4707,-79.7455,0.334679177378815,0.657198846340179,0.0768196998678706
"48",64,71.3982,-79.7033,0.291510325901997,0.849179148674011,0.0991810741393473
"49",65,71.4564,-79.7205,0.337129942851197,0.657198846340179,0.0797911236770682
"50",66,71.3441,-79.7168,0.274353249744474,0.740318894386292,0.0862463054440777
"51",68,71.3776,-79.7084,0.274810247595975,0.849179148674011,0.0988364506173679
"52",69,71.4111,-79.7058,0.307170764964596,0.787569582462311,0.0965387842955533
"53",70,71.4658,-79.6706,0.342322985883894,0.657198846340179,0.0846672487928767
"54",71,71.1756,-79.6665,0.334536370057662,0.697137117385864,0.0905824853978582
"55",72,71.1779,-79.666,0.336946039129096,0.697137117385864,0.0859178241025736
"56",73,71.3608,-79.6373,0.293939451441159,0.849179148674011,0.105380731390822
"57",74,71.3218,-80.195,0.336536106460289,0.844060719013214,0.0781800144037092
"58",75,71.3616,-79.6362,0.294539880994039,0.849179148674011,0.105489082465672
"59",80,71.4476,-79.5701,0.325017435807023,0.997931718826294,0.102118335612012
"60",81,71.399,-79.5737,0.342746189295563,0.800917565822601,0.0823659909759647
"61",82,71.3327,-79.5619,0.335129678097732,0.950329422950745,0.0978347272659534
"62",83,71.3286,-79.5424,0.336577311506489,0.950329422950745,0.10273961477776
"63",84,71.4457,-79.5258,0.299886187044441,0.997931718826294,0.104791949058066
"64",85,71.4441,-79.5157,0.295288133365776,0.997931718826294,0.103833719231486
"65",86,71.3444,-79.4464,0.317612677948064,0.736898422241211,0.10460968307344
"66",88,71.3374,-79.44,0.308668737837945,0.736898422241211,0.104622467342737
"67",91,71.3333,-79.3849,0.30176703955687,0.736898422241211,0.1050111947551
"68",94,71.3696,-79.3786,0.335584812981481,0.782497882843018,0.0962283320050491
"69",95,71.2227,-79.3808,0.312540967144875,0.684421539306641,0.0892155478230554
"70",98,71.214,-79.3739,0.324895739570872,0.684421539306641,0.0849572843828429
"71",99,71.2144,-79.3719,0.324591764820056,0.684421539306641,0.0849021345666396
"72",100,71.3304,-79.3486,0.28718262190243,0.782497882843018,0.106613210815472
"73",101,71.1373,-79.3612,0.241091041798408,0.674134433269501,0.135420930281922
"74",102,71.13,-79.3554,0.235083097351233,0.998857140541077,0.136151211372336
"75",104,71.3235,-79.3264,0.276623670835314,0.782497882843018,0.10811307878506
"76",107,71.3291,-79.2855,0.252403737780952,0.782497882843018,0.109031462199938
"77",108,71.3161,-79.2763,0.275324704271887,0.774680614471436,0.111905661554154
"78",109,71.325,-79.2731,0.255305600208121,0.782497882843018,0.110452667073917
"79",114,71.3097,-79.1953,0.275545085395567,0.774680614471436,0.111637132064724
"80",115,71.3087,-79.1925,0.277971450456379,0.774680614471436,0.111358111581308
"81",117,71.3017,-79.1906,0.296373898730849,0.774680614471436,0.107645770991796
