Site,Order,Lat,Long,20_Sp_1,20_Date,20_NAd,20_eggs_Y or N,20_NEggLai,20_hatch,20_Nyng,20_Comm,20_Sp_2,20_Date,20_NAd,20_eggs_Yor N,20_NEggLai,20_hatch,20_Nyng,20_Comm,20_Sp_3,20_Date,20_NAd,20_eggs_Y or N,20_NEggLai,20_hatch,20_Nyng,20_Comm
62,61,71.4698,-79.7558,PEFA,27-Jun-20,1,unk,unk,unk,unk,Nesting in old RLHA nest,PEFA,19-Jul-20,1,y,unk,unk,unk,"Female incubating, did not flush",PEFA,14-Aug-20,0,n,unk,unk,3,NA
63,62,71.4707,-79.7455,not detected,27-Jun-20,NA,NA,NA,NA,NA,NA,not detected,19-Jul-20,NA,NA,NA,NA,NA,NA,not detected,14-Aug-20,NA,NA,NA,NA,NA,NA
64,54,71.3982,-79.7033,not detected,27-Jun-20,NA,NA,NA,NA,NA,NA,not detected,19-Jul-20,NA,NA,NA,NA,NA,NA,not detected,14-Aug-20,NA,NA,NA,NA,NA,NA
65,71,71.4564,-79.7205,RLHA,27-Jun-20,1,y,3,unk,unk,"Parent flushed, waypoint taken",RLHA,19-Jul-20,0,y,4,0,0,No parents present,RLHA,14-Aug-20,0,y,4,0,0,ABANDONED/FAILED - 4 eggs still in nest.
66,80,71.3441,-79.7168,RLHA,26-Jun-20,1,y,4,0,0,"Parent flushed, waypoint taken",RLHA,18-Jul-20,1,unk,unk,unk,unk,Didn't flush,RLHA,11-Aug-20,1,n,unk,unk,4,NA
68,111,71.3776,-79.7084,not detected,27-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
69,55,71.4111,-79.7058,RLHA,27-Jun-20,2,y,3,0,0,"Parents flushed, waypoint taken",RLHA,19-Jul-20,1,y,0,2,unk,Parent flushed,RLHA,14-Aug-20,0,0,3,unk,2,NA
70,64,71.4658,-79.6706,RLHA,27-Jun-20,2,y,4,unk,unk,"Parents flushed, waypoint taken",RLHA,19-Jul-20,2,y,3,1,unk,Parents circling,RLHA,14-Aug-20,0,n,3,unk,2,NA
71,32,71.1756,-79.6665,PEFA,26-Jun-20,1,y,4,0,0,"Parent flushed, waypoint taken",PEFA,18-Jul-20,2,y,unk,unk,unk,"Female incubating, did not flush",PEFA,11-Aug-20,1,n,unk,unk,3,NA
72,33,71.1779,-79.6660,RLHA,26-Jun-20,1,y,4,0,0,"Parent flushed, waypoint taken",RLHA,18-Jul-20,1,y,2,2,unk,Parent flushed,RLHA,11-Aug-20,1,n,unk,unk,3,NA
