"","SiteID","Lat","Long","sum"
"155","493",71.3259,-79.5365,0
"156","5",71.8412,-80.8536,0
"157","52",71.4389,-79.8944,0
"158","53",71.415,-79.8918,0
"159","55",71.3436,-79.8538,0
"160","59",71.219,-79.7919,0
"161","63",71.4707,-79.7455,0
"162","68",71.3776,-79.7084,0
"163","7",71.8033,-80.7595,0
"164","71",71.1756,-79.6665,0
"165","73",71.3608,-79.6373,0
"166","74",71.3218,-80.195,0
"167","75",71.3616,-79.6362,0
"168","8",71.8702,-80.7133,0
"169","81",71.399,-79.5737,0
"170","82",71.3327,-79.5619,0
"171","9",71.8701,-80.7112,0
"172","91",71.3333,-79.3849,0
"173","94",71.3696,-79.3786,0
"174","98",71.214,-79.3739,0
"175","99",71.2144,-79.3719,0
