SiteID,Lat_DD,Lon_DD,PDA,D2D,D2NN,NN,12Yng,13Yng,14Yng,15Yng,16Yng,17Yng,18Yng,19Yng,y12v1,y12v2,y12v3,y13v1,y13v2,y13v3,y14v1,y14v2,y14v3,y15v1,y15v2,y15v3,y16v1,y16v2,y16v3,y17v1,y17v2,y17v3,y18v1,y18v2,y18v3,y19v1,y19v2,y19v3,RLHA_19,PEFA_19,GYRF_19,NDNO,RLHA,PEFA,GYRF
48,71.2978,-79.9221,1,9.2,0.2,49,NA,NA,NA,NA,NA,0,0,0,RLHA,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
49,71.2964,-79.9196,1,9.3,0.2,48,0,0,0,2,0,0,0,0,PEFA,0,NA,PEFA,PEFA,NA,PEFA,0,NA,PEFA,PEFA,NA,PEFA,0,NA,PEFA,PEFA,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
50,71.458,-79.8961,1,7.1,1,462,NA,NA,0,0,0,0,0,0,RLHA,NA,NA,PEFA,NA,NA,PEFA,0,NA,PEFA,0,NA,0,0,NA,PEFA,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
51,71.2947,-79.9039,1,9.6,0.6,49,0,NA,NA,4,NA,0,0,0,RLHA,0,NA,0,0,NA,0,0,NA,RLHA,RLHA,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
53,71.41498,-79.89182,1,2.7,0.4,463,NA,2,0,NA,NA,0,0,0,NA,NA,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
54,71.3492,-79.8631,1,4.2,0.6,443,NA,NA,1,NA,NA,0,2,0,RLHA,NA,NA,0,0,NA,RLHA,RLHA,NA,0,0,NA,0,0,NA,0,0,NA,0,RLHA,RLHA,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
55,71.3436,-79.8538,1,4.9,0.7,54,NA,3,2,0,3,0,0,2,0,NA,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,PEFA,0,NA,0,0,NA,PEFA,PEFA,0,PEFA,PEFA,PEFA,0,3,0,FALSE,FALSE,TRUE,FALSE
56,71.2211,-79.8042,2,15.7,0,57,NA,NA,NA,NA,NA,1,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,CORA,0,NA,RLHA,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
57,71.2209,-79.8039,2,15.7,0,56,0,NA,NA,4,NA,0,0,0,0,0,NA,0,0,NA,0,0,NA,RLHA,RLHA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
58,71.2447,-79.8005,2,13.7,2.6,56,1,NA,NA,NA,NA,0,0,0,RLHA,RLHA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
59,71.219,-79.7919,2,15.7,0.1,338,3,3,1,3,NA,3,0,2,PEFA,PEFA,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,NA,NA,NA,PEFA,PEFA,NA,PEFA,PEFA,0,PEFA,PEFA,PEFA,0,3,0,FALSE,FALSE,TRUE,FALSE
61,71.3562,-79.7641,1,2.5,1.3,442,NA,NA,0,3,NA,0,0,0,RLHA,0,NA,0,NA,NA,0,0,NA,RLHA,RLHA,NA,0,NA,NA,PEFA,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
62,71.46982,-79.75576,1,8.1,0.4,63,NA,NA,NA,NA,2,2,0,0,PEFA,NA,NA,0,NA,NA,PEFA,0,NA,0,NA,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
63,71.4707,-79.7455,1,8.3,0.4,62,NA,NA,NA,NA,NA,0,2,3,PEFA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,0,0,NA,0,0,NA,PEFA,PEFA,PEFA,0,PEFA,PEFA,0,2,0,FALSE,FALSE,TRUE,FALSE
64,71.39816,-79.7033,1,2.3,1.4,69,0,NA,NA,NA,0,0,0,0,RLHA,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,RLHA,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
65,71.4564,-79.7205,1,7.2,0.8,467,NA,NA,0,NA,NA,0,0,0,0,NA,NA,0,NA,NA,RLHA,0,NA,0,0,NA,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
66,71.3441,-79.7168,1,3.5,1.6,442,NA,NA,3,NA,3,0,0,0,0,NA,NA,0,NA,NA,RLHA,RLHA,NA,0,0,NA,RLHA,RLHA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
68,71.3776,-79.7084,1,0.1,2.3,64,0,3,2,3,3,0,2,0,PEFA,PEFA,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,PEFA,0,NA,PEFA,PEFA,PEFA,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
69,71.4111,-79.7058,1,3.4,1.4,64,NA,1,2,2,2,0,0,4,RLHA,NA,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,PEFA,0,0,PEFA,PEFA,PEFA,0,3,0,FALSE,FALSE,TRUE,FALSE
70,71.4658,-79.6706,1,9,1.5,467,NA,3,NA,3,NA,0,0,0,RLHA,NA,NA,PEFA,PEFA,NA,0,NA,NA,RLHA,RLHA,NA,NA,NA,NA,0,0,NA,0,RLHA,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
71,71.1756,-79.6665,2,18,0.3,72,0,3,2,4,3,3,2,4,PEFA,PEFA,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,0,RLHA,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,PEFA,PEFA,PEFA,0,PEFA,PEFA,0,2,0,FALSE,FALSE,TRUE,FALSE
72,71.1779,-79.666,2,17.8,0.3,71,3,NA,NA,1,0,0,0,0,RLHA,RLHA,NA,0,0,NA,0,NA,NA,RLHA,RLHA,NA,RLHA,0,NA,0,0,NA,0,0,0,RLHA,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
74,71.32177,-80.19504,1,9.2,4.6,385,NA,NA,NA,NA,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,PEFA,PEFA,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
75,71.3616,-79.6362,1,0.5,0.1,73,0,3,2,2,0,2,0,0,PEFA,PEFA,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,0,PEFA,NA,PEFA,PEFA,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
80,71.4476,-79.5701,1,8.9,0.8,469,NA,0,NA,3,3,1,1,0,RLHA,NA,NA,PEFA,0,NA,0,NA,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,PEFA,PEFA,PEFA,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
81,71.399,-79.5737,1,3.8,4.6,468,NA,0,0,4,0,0,0,0,0,NA,NA,PEFA,PEFA,NA,PEFA,0,NA,0,PEFA,NA,PEFA,PEFA,NA,0,0,NA,0,0,0,0,PEFA,PEFA,0,2,0,FALSE,FALSE,TRUE,FALSE
82,71.3327,-79.5619,1,0.8,0.8,83,0,NA,0,4,4,1,0,2,PEFA,PEFA,NA,0,NA,NA,PEFA,0,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,0,0,0,PEFA,PEFA,PEFA,0,3,0,FALSE,FALSE,TRUE,FALSE
83,71.3286,-79.5424,1,0.5,0.8,82,1,0,3,5,NA,0,0,0,RLHA,RLHA,NA,PEFA,PEFA,NA,RLHA,RLHA,NA,RLHA,RLHA,NA,0,0,NA,0,0,NA,0,PEFA,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
84,71.4457,-79.5258,1,9.3,0.4,85,NA,NA,NA,NA,3,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,0,NA,RLHA,RLHA,NA,0,0,NA,0,0,0,RLHA,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
85,71.4441,-79.5157,1,9.3,0.4,84,NA,NA,NA,4,NA,0,0,0,RLHA,NA,NA,0,NA,NA,0,NA,NA,RLHA,RLHA,NA,0,NA,NA,0,0,NA,0,PEFA,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
86,71.3444,-79.4464,1,1.2,0.6,485,2,NA,3,0,NA,2,0,0,RLHA,RLHA,NA,0,NA,NA,RLHA,RLHA,NA,RLHA,RLHA,NA,0,NA,NA,RLHA,RLHA,NA,0,PEFA,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
88,71.3374,-79.44,1,0.4,0.5,485,0,NA,2,4,0,3,0,1,PEFA,PEFA,NA,PEFA,0,NA,PEFA,PEFA,NA,RLHA,RLHA,NA,CORA,0,NA,CORA,0,NA,CORA,0,0,0,PEFA,PEFA,0,2,0,FALSE,FALSE,TRUE,FALSE
91,71.3333,-79.3849,1,0.1,1.3,100,0,NA,NA,NA,0,0,0,0,PEFA,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,PEFA,PEFA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
